"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"ad365","365","doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",7405.85906108774
"ad365","365","doxil","after","tet(44)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",11542.0486771087
"ad365","365","doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",777648.966729081
"ad365","365","doxil","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",30618.5985556846
"ad365","365","doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",56704.5626617614
"ad365","365","doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",104780.115477597
"ad365","365","doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",11299.8488376793
"ad366","366","doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",24100.6343868356
"ad366","366","doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",73278.9559059189
"ad366","366","doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",649673.255982516
"ad366","366","doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",21762.5131403515
"ad366","366","doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",214408.339616667
"ad366","366","doxil","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",16776.3009677113
"ad367","367","doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",20361.376697619
"ad367","367","doxil","after","tet(44)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7757.01745640962
"ad367","367","doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",617752.719599411
"ad367","367","doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",342967.835316013
"ad367","367","doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",11161.0509305467
