"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"bd364","364","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",31057.9997489417
"bd365","365","doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",9976.89366300743
"bd365","365","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",851614.300116224
"bd365","365","doxil","before","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",14747.9263468911
"bd365","365","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",28859.9553720258
"bd365","365","doxil","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",86988.3305223537
"bd365","365","doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",7812.59397949788
"bd366","366","doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",15205.9186846546
"bd366","366","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",940980.60964262
"bd366","366","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",43813.4716727249
"bd367","367","doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",10620.1865988627
"bd367","367","doxil","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",22801.4126737027
"bd367","367","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",925166.741692107
"bd367","367","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",27461.9004216859
"bd367","367","doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",13949.7586136412
"bd368","368","doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",25631.423935535
"bd368","368","doxil","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",12068.0610476441
"bd368","368","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",782443.192119441
"bd368","368","doxil","before","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",33954.2056594732
"bd368","368","doxil","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",24415.196007015
"bd368","368","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",32889.9693626837
"bd368","368","doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",88597.9518682077
"bm357","357","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",125318.443253412
"bm357","357","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",874681.556746588
"bm358","358","metro","before","tet(W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",8269.88805564438
"bm358","358","metro","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",27632.7183224744
"bm358","358","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",759857.758855398
"bm358","358","metro","before","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",21501.7089446754
"bm358","358","metro","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",93449.7350287815
"bm358","358","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",14043.7236633165
"bm358","358","metro","before","tet(O/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",28117.6193891909
"bm358","358","metro","before","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",5513.25870376292
"bm358","358","metro","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",41613.589036756
"bm359","359","metro","before","tet(W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",9438.26358744108
"bm359","359","metro","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",65111.077328277
"bm359","359","metro","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",14085.8655949373
"bm359","359","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",655042.700042582
"bm359","359","metro","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",144009.634737407
"bm359","359","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",31021.6078110726
"bm359","359","metro","before","tet(O/M/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",69112.4462693266
"bm359","359","metro","before","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",12178.4046289562
"bm360","360","metro","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",18962.1721354838
"bm360","360","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",953442.13332995
"bm360","360","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",18671.8977820895
"bm360","360","metro","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",8923.79675247678
"bm361","361","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",938294.078534334
"bm361","361","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",20227.098401357
"bm361","361","metro","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",31489.5189398062
"bm361","361","metro","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",9989.30412450309
"bm362","362","metro","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",21899.0957543283
"bm362","362","metro","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",890239.659143005
"bm362","362","metro","before","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",18883.3304491772
"bm362","362","metro","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",68977.9146534896
"bmd782","782","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",12122.1852237415
"bmd782","782","metro+doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",918292.918092501
"bmd782","782","metro+doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",20214.2848711967
"bmd782","782","metro+doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",37132.4453694565
"bmd782","782","metro+doxil","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",12238.166443104
"bmd783","783","metro+doxil","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",14760.240603004
"bmd783","783","metro+doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",21999.5505283831
"bmd783","783","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",15251.0397581899
"bmd783","783","metro+doxil","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",9698.70809622389
"bmd783","783","metro+doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",22754.7589793574
"bmd783","783","metro+doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",915535.702034842
"bmd784","784","metro+doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",88289.7453614006
"bmd784","784","metro+doxil","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",29825.3796048982
"bmd784","784","metro+doxil","before","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",71157.7099347751
"bmd784","784","metro+doxil","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",745672.726388018
"bmd784","784","metro+doxil","before","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",18154.578889938
"bmd784","784","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",46899.8598209701
"bmd785","785","metro+doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",4715.8641716007
"bmd785","785","metro+doxil","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",22968.5312213203
"bmd785","785","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",6882.61257476859
"bmd785","785","metro+doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",947576.935434804
"bmd785","785","metro+doxil","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",9726.46985392644
"bmd785","785","metro+doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",8129.58674358031
"bmd786","786","metro+doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",33853.8213484752
"bmd786","786","metro+doxil","before","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",96656.3734348822
"bmd786","786","metro+doxil","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",810567.676246328
"bmd786","786","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",29470.9319847055
"bmd786","786","metro+doxil","before","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",29451.1969856086
"bmd787","787","metro+doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",105946.233764658
"bmd787","787","metro+doxil","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",829741.091520389
"bmd787","787","metro+doxil","before","tet(W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",64312.6747149526
