"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"41410",1,1,"metro+doxil",-2.32750016925805,-2.7914149522657,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Sporofaciens","s__Sporofaciens_musculi",NA,"No change"
"41505",1,1,"metro+doxil",-1.63338846161401,3.89599703063028,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","LKT_f__Clostridia_unclassified","LKT_f__Clostridia_unclassified",NA,"No change"
"82510",1,1,"metro+doxil",-2.99898101396324,-2.11993410756051,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD21_13",NA,"No change"
"41518",7.49530893461211e-90,0.270386364737115,"metro+doxil",5.05805550300914,0.888019601399098,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","LKT_f__Clostridiaceae","LKT_f__Clostridiaceae",NA,"No change"
"29418",1,1,"metro+doxil",0.439366988900216,-3.74480948480543,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD42_54",NA,"No change"
"63370",0.000739915445672662,2.12588561549351e-44,"metro+doxil",1.81434430284911,-6.93325942437286,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Christensenellaceae","LKT_f__Christensenellaceae","LKT_f__Christensenellaceae","LKT  Christensenellaceae","Before"
"41020",1,1,"metro+doxil",-0.491791648268039,-1.18406581380559,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Pumilibacter","s__Pumilibacter_sp_CLA_AA_M10",NA,"No change"
"41021",0.00448405131153527,1,"metro+doxil",-4.18682623384203,0.350764665198724,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Pumilibacter","s__Pumilibacter_sp_CLA_AA_M08",NA,"No change"
"41011",1,1,"metro+doxil",-1.01256020619015,-2.11346244148418,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","LKT_f__Pumilibacteraceae","LKT_f__Pumilibacteraceae",NA,"No change"
"41016",1,0.948682825786684,"metro+doxil",-2.52522505537606,3.77240771684096,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Anaerocaecibacter","s__Anaerocaecibacter_sp_CLA_AA_M11",NA,"No change"
"40989",6.99230841402279e-59,1,"metro+doxil",6.64451984803498,0.545313771020832,"k__Bacteria","p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes",NA,"No change"
"43247",1,1,"metro+doxil",1.65868214365852,-0.213496644845098,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriales_unclassified","LKT_f__Eubacteriales_unclassified","LKT_f__Eubacteriales_unclassified",NA,"No change"
