"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"21585",1,1,"metro",3.35476627464226,-1.19573470626767,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae_unclassified","s__Muribaculaceae_bacterium_Isolate_104_HZI",NA,"No change"
"21584",4.47875828585826e-76,0.0847044404231309,"metro",8.52930475358387,-3.31412676187735,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Paramuribaculum","s__Paramuribaculum_intestinale",NA,"No change"
"1863",1,1,"metro",-1.42210600257994,2.34891197746372,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_caecimuris",NA,"No change"
"27814",2.3248867742634e-23,1,"metro",5.60105357580146,0.455103625715463,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_acidifaciens",NA,"No change"
"1861",0.60695766034218,1,"metro",-3.66480295628793,0.124307391287735,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_thetaiotaomicron",NA,"No change"
"27790",0.122408653631549,1,"metro",3.87762714740254,-3.49426187885944,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_muris",NA,"No change"
"21581",1.5228884792184e-24,1,"metro",7.96216804280441,0.823906067519337,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_sp_MGM1",NA,"No change"
"19395",0.000572174089161713,1,"metro",2.87339213902389,-1.67301384871157,"k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter","s__Helicobacter_hepaticus",NA,"No change"
"40880",1.62319948766954e-100,0.330411744353229,"metro",6.52038638734925,-6.00838421538516,"k__Bacteria","p__Proteobacteria","LKT_p__Proteobacteria","LKT_p__Proteobacteria","LKT_p__Proteobacteria","LKT_p__Proteobacteria","LKT_p__Proteobacteria",NA,"No change"
"9258",1.12531134635041e-14,1,"metro",4.20110190992353,-1.39024293658033,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Turicimonas","s__Turicimonas_muris",NA,"No change"
"9265",1.13931459372803e-09,1,"metro",4.89894411485744,0.60782035553153,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderiaceae_unclassified","s__Burkholderiaceae_bacterium",NA,"No change"
