clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_SGB41545	0	0	0	0	0	0	0	6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	2696	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_SGB41546	0	0	0	0	0	0	6294	0	0	570	0	1301	0	0	0	0	0	0	0	1208	0	0	1455	0	3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9318	0	722	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	0	0	0	0	0	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp_DSM_110981	0	0	1422	0	0	0	20830	12217	0	2061	0	0	0	0	1317	0	3105	3678	0	96	0	1562	23468	3101	336	0	0	0	0	0	2070	0	0	0	0	1107	0	7647	0	0	0	0	0	0	0	143	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	1616	21044	9122	0	0	0	0	0	0	0	0	0	1776	0	0	0	0	4967	0	0	0	0	7985	23999	8149	13930	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB20149|s__GGB20149_SGB29430	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	14957	4112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3931	0	1058	5047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB25041|s__GGB25041_SGB36960	0	0	118	27201	0	0	89714	113435	342165	380165	365570	289410	0	0	0	0	1285627	353137	1021644	1917939	196591	8684	2490916	859647	583084	149662	0	0	0	0	6845	25698	349527	267442	50320	776842	0	0	0	0	0	98758	23807	29939	17742	0	75299	413257
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28695|s__GGB28695_SGB41326	31279	43010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28792|s__GGB28792_SGB41445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	290
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28793|s__GGB28793_SGB41446	14038	12661	12149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326	13478	0	23783	9332	0	0	284	0	0	0	0	0	0	0	0	4425	2620	0	0	0	0	0	0	12354	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28798|s__GGB28798_SGB41451	0	0	0	0	0	0	0	0	46708	0	0	0	0	0	0	0	0	11455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28802|s__GGB28802_SGB41455	0	0	0	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	5110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28803|s__GGB28803_SGB41457	0	0	39214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10876	0	27112	37913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28805|s__GGB28805_SGB41459	0	71	601	287	0	108	29580	23638	0	19609	15377	11781	0	0	0	0	0	0	0	0	0	1860	0	0	49635	15840	3701	0	0	1115	5642	2784	0	3508	11653	0	0	4206	0	0	0	455	4908	4206	0	6615	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28821|s__GGB28821_SGB41477	0	0	0	0	0	0	0	0	0	0	3506	4355	0	0	0	0	0	0	0	4147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28836|s__GGB28836_SGB41495	0	0	0	28525	0	0	99551	477543	304048	237197	509250	364208	0	0	0	0	0	0	0	55912	0	0	0	0	334539	47651	0	924	0	0	146544	54910	68748	0	153208	1035098	0	0	42862	0	17864	0	76039	132222	0	0	0	3038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28836|s__GGB28836_SGB41496	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	0	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28861|s__GGB28861_SGB41531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44758	33156	4903	5942	0	0	0	0	19477	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28864|s__GGB28864_SGB41535	0	0	0	0	0	0	6942	27813	0	9408	0	0	0	0	11051	3288	222	0	0	0	0	7275	0	2933	0	0	2040	213	132	0	0	0	0	0	0	0	0	18110	7518	0	0	0	0	0	0	556	1089	274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28865|s__GGB28865_SGB41536	0	0	0	0	0	0	11046	4433	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3406
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28865|s__GGB28865_SGB41537	0	0	0	0	0	0	0	0	0	11904	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	6763	0	0	0	0	0	0	0	0	0	4330
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28868|s__GGB28868_SGB41542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28869|s__GGB28869_SGB41543	6879	3991	4574	0	1164	0	3450	6214	1105	34288	2775	1539	0	0	0	0	0	0	0	4867	0	0	0	0	13397	0	768	0	0	1940	3196	0	0	0	2276	9129	0	0	0	0	0	0	497	450	134	0	7698	9863
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28873|s__GGB28873_SGB41553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27296	76984	5205	0	0	0	0	281740	0	141683	0	0	0	0	0	0	0	0	0	0	0	0	0	67040	1766	2882	44102	0	0	0	0	17908	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28875|s__GGB28875_SGB41555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2136
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28879|s__GGB28879_SGB41559	0	0	0	0	0	0	0	0	0	2080	5222	307	0	0	0	1058	0	431	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	468	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28887|s__GGB28887_SGB41568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28889|s__GGB28889_SGB41570	0	0	0	0	0	0	0	0	2225	0	0	0	0	0	0	0	13896	0	4403	4206	0	0	109	1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28911|s__GGB28911_SGB41605	0	0	3264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28916|s__GGB28916_SGB41612	0	0	0	0	0	0	15570	24690	9394	2802	0	13046	0	0	0	0	17998	0	3812	23277	0	0	0	1705	802	0	0	0	0	0	441	0	3372	14227	6447	19126	0	0	0	0	0	0	0	0	0	0	0	3152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28924|s__GGB28924_SGB41621	0	0	0	0	0	0	0	0	0	0	0	163	0	0	2032	0	0	10513	0	8340	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	5248	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28925|s__GGB28925_SGB41622	36617	11461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28926|s__GGB28926_SGB41623	0	4318	0	145	0	0	15095	19255	9239	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	529	0	4294	2305	0	0	0	9256	0	0	0	0	18529	1005	0	0	0	2363	2362	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28926|s__GGB28926_SGB41624	29779	37800	134708	624	0	0	0	0	0	1123	0	0	0	0	1152	0	0	0	0	0	0	0	0	0	0	0	40296	6899	31	0	0	0	0	0	0	0	0	26731	61352	3043	1820	5823	0	0	0	7722	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28933|s__GGB28933_SGB41634	3518	0	12110	1395	0	0	6243	13083	2708	17593	5477	7969	0	0	0	0	0	1557	164	2924	3787	0	0	0	6339	163	0	0	127	0	2280	0	2923	0	991	9462	0	0	0	0	0	0	0	1666	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28946|s__GGB28946_SGB41652	0	0	18459	0	0	0	0	0	2126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2104	0	6290	1453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28949|s__GGB28949_SGB41655	280949	198942	53241	130426	10085	79850	17481	26599	0	14132	13809	38254	136024	111536	140064	55933	20868	0	8768	33476	0	491	44494	0	1871	3764	341705	58781	56442	80826	29122	10692	0	4834	29451	175721	61679	43873	55717	11209	3171	52312	11364	12780	11377	15584	21235	19504
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28949|s__GGB28949_SGB41656	37083	1056	95019	0	0	0	0	0	1972	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	369	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1285	0	4163	1921
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3793|s__GGB3793_SGB5158	0	0	0	5890	0	0	43035	0	0	0	0	10551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24226	32277	28056	42959	0	0	0	0	68040	2171	16733	27882	11200	15885	0	0	947	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB42598|s__GGB42598_SGB59794	0	0	0	559	0	0	0	0	2714	0	13522	1366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2360	0	34193	0	0	0	0	0	0	0	338	10306	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB75106|s__GGB75106_SGB102240	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB75109|s__GGB75109_SGB102238	30900	6502	2705	431	0	0	0	0	3602	142	3262	17890	0	0	0	0	673	22298	3755	3162	17925	0	10149	14667	2692	1390	0	0	0	0	2825	0	3011	0	2626	0	0	0	0	0	0	1695	0	0	0	0	2593	2680
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium	659399	202712	409795	94450	51933	19173	227676	337909	234854	112196	472330	136880	143508	56278	96466	75940	698484	817085	200651	422961	40289	90581	912326	125091	178397	166112	283741	50116	65447	65196	185713	41155	159358	64820	63550	151974	28916	482527	192410	32362	34907	63997	86827	64815	127695	310367	107341	151842
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	0	4205	0	14784	62238	0	162	10186	0	0	30429	5898	0	0	0	13367	0	0	0	317793	0	0	76517	213916	7800	0	0	13818	13698	0	0	0	0	0	27676	23211	0	9843	8483	6924	7753	0	0	0	2759	0	2181	18514
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	3648	45710	0	1031	0	0	0	0	0	0	0	1921	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD335	0	0	0	2891	0	0	64187	82951	116492	21431	9258	22639	0	0	0	40691	14066	10085	35598	9361	0	13167	0	9952	21924	48696	0	0	0	0	55042	32507	497	8970	0	37138	0	344	3614	0	0	0	3030	6815	6764	16239	2519	2330
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB102286	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	3508	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB36958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250712	0	48370	21357
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41414	0	0	0	7383	0	0	0	0	0	0	61889	29524	0	0	0	0	847595	225845	191357	103132	16649	0	0	0	0	0	0	0	0	0	19284	0	119697	4785	93818	87058	0	0	0	0	0	15556	0	666	1304	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	3383	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41424	3082	0	15075	18142	1327	52556	0	0	0	1786	0	0	48883	8875	36112	0	77743	23717	0	0	0	1338	0	0	0	0	5429	0	0	0	1791	1759	0	3897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87744	677087	27555	39776	0	0	0	0	22864	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41521	0	0	33543	30453	24089	0	32118	0	0	29432	0	0	105668	0	1719	0	0	87	0	0	0	2540	0	0	0	0	1689	5485	28186	9240	0	0	0	8938	0	0	5694	0	458	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41589	0	0	0	36497	0	0	183389	147574	407281	314969	370136	164463	0	0	0	0	207370	371601	169778	493070	145984	0	269871	0	0	0	0	924	0	0	115608	19731	207252	70906	93052	30595	0	0	0	0	0	23370	73452	78849	109050	0	88624	128098
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB94868	1491	0	0	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6316	765
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella_arabinosiphila	107874	1382	2331	8573	0	0	0	2468	115601	384	21676	28564	10649	0	2197	0	93163	132449	5272	25188	17397	1914	157526	51604	0	0	6618	3667	0	289	0	0	32581	0	10126	50185	0	0	0	0	0	2398	0	0	613	0	6901	12620
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sporofaciens|s__Sporofaciens_musculi	0	0	2727	0	0	0	6791	31506	2092	4983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	997	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	34	916	4883
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acutalibacter|s__Acutalibacter_muris	0	0	7092	3090	0	0	67989	73899	70417	60204	34516	42476	0	0	0	0	0	0	0	15496	26996	0	204721	62983	10160	5705	2940	0	0	0	18934	5336	5850	3979	12513	35102	0	80724	39738	0	12884	1553	6912	10167	35225	1317	62065	41502
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acutalibacter|s__Acutalibacter_sp_1XD8_36	0	0	0	0	0	0	0	0	0	0	8943	0	0	0	0	0	0	0	0	517	0	0	0	0	644	0	0	0	0	0	0	0	871	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_sp_1XD42_93	0	0	0	12161	4524	0	72106	84839	13148	24482	40770	1834	0	0	0	0	0	0	0	150	0	0	4164	0	11811	18402	0	250	0	0	59238	22646	41399	11954	1082	10489	0	258708	118547	35014	12116	6304	48010	46230	3318	56678	8584	5848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB29622|s__GGB29622_SGB42426	0	0	0	419	0	0	0	0	0	243	53728	934	0	0	0	0	0	0	0	4126	0	0	0	0	0	0	0	0	0	0	0	0	873	0	8977	5545	0	0	0	0	0	0	12792	8419	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30290|s__GGB30290_SGB43252	357646	13540	18842	28460	45598	4979	198	0	0	5779	0	0	0	0	0	0	0	0	0	4161	10760	0	2383	0	2212	0	0	1564	0	3252	0	0	0	1645	0	1618	9073	0	0	0	0	0	0	721	0	0	200	1038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30295|s__GGB30295_SGB43259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30296|s__GGB30296_SGB43260	0	0	2348	3623	629	943	0	0	0	1777	3368	0	25807	848	6331	69	22828	10709	26732	26115	1557	1133	3449	7237	0	0	12707	8356	7136	712	0	0	0	0	0	0	0	0	0	0	0	1881	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30297|s__GGB30297_SGB43261	237	0	48693	0	0	0	1237	434	12811	0	0	0	17425	0	18521	11318	40769	56096	2206	12061	1540	16854	62676	65841	8372	32206	0	0	0	0	620	0	1136	0	0	5718	0	1146	587	0	0	0	165	736	157	2951	0	460
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30301|s__GGB30301_SGB43265	0	0	0	11321	0	3831	1494	7780	11428	7087	139	0	0	414	18331	354	7720	1007	9725	3949	4141	3583	20245	12752	8043	12572	5154	907	6046	0	3220	1211	0	502	1019	20821	0	20306	19943	1621	2088	2708	11480	8613	34812	1097	26523	13054
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302|s__GGB30302_SGB43266	0	0	42348	18270	0	3968	15665	102805	52468	82959	31725	24462	9568	241	727	0	21399	0	9553	25321	1573	417	2840	0	0	4552	48675	18940	5324	35485	4659	6494	4107	4937	10751	87641	930	22488	21714	4875	6818	11681	15769	12684	77710	6362	14774	16337
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302|s__GGB30302_SGB43267	0	0	0	0	0	0	14653	0	9871	5593	0	0	0	10632	25163	23420	6829	7487	0	377	4436	13713	81212	43291	30546	0	0	0	0	0	0	0	0	0	0	0	0	16898	3664	1306	941	0	0	0	15458	0	9831	2387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30303|s__GGB30303_SGB43268	0	0	0	7109	0	0	30107	8723	0	10717	3364	0	0	99	0	0	33	0	3015	19883	11795	0	1347	0	0	6054	0	0	0	0	1079	4585	2990	6028	0	24050	0	28755	14389	535	4953	99	6130	4629	13935	0	11428	5127
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30444|s__GGB30444_SGB43493	1313	0	0	407	0	0	120797	9513	35237	5916	58	0	0	0	0	21272	698	0	11310	1297	0	6640	22016	30188	13278	2589	0	0	0	0	1962	0	969	296	0	0	0	44093	39508	816	13037	0	850	5696	140014	652	5993	2042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30449|s__GGB30449_SGB43506	0	0	0	0	0	0	13047	45080	3083	40053	0	0	0	0	0	0	0	0	0	0	0	676	23241	0	0	0	0	0	0	0	0	0	0	2266	0	0	0	0	0	0	0	0	0	0	19980	0	1829	954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30450|s__GGB30450_SGB43507	0	0	0	1892	0	0	0	0	0	0	0	0	0	36832	0	0	0	0	0	82651	0	0	0	0	0	0	13703	0	0	0	0	0	0	0	0	0	0	3462	0	0	0	1272	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30451|s__GGB30451_SGB102185	0	0	25235	6277	0	2860	53451	62016	28672	45023	33049	0	0	1467	0	795	40626	0	19023	0	0	20197	247231	0	0	0	28672	41730	29038	22261	7517	14037	7142	7868	1072	0	0	19257	0	0	991	6216	7609	10053	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30451|s__GGB30451_SGB43508	0	0	0	474	0	0	0	0	0	0	3199	10321	0	28329	199546	1181	0	29582	0	26974	5119	0	0	12147	0	0	199	0	0	0	0	0	0	0	0	35876	0	16288	33795	0	0	399	0	590	2252	1888	1735	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30453|s__GGB30453_SGB43513	0	3483	20530	3005	1180	0	67838	0	344	77702	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	20737	41172	7459	6996	2107	0	1894	0	2125	7863	0	8324	0	12195	15900	0	3620	863	0	0	4622	210	7799	3014
