clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Firmicutes|c__CFGB10667	0	0	0	0	0	0	3249	2681	0	683	7803	2137	1789	0	916	0	0	0	4804	6145	5791	3535	56201	8019	0	0	0	0	0	0	658	0	0	0	0	4856	0	0	0	0	0	0	0	0	5486	0	14349	15048
k__Bacteria|p__Firmicutes|c__CFGB1765	990	4437	0	1082	1270	6819	0	0	0	0	0	0	143685	41471	6393	286	0	0	0	0	0	0	0	0	1847	0	4824	7548	12583	46599	0	0	0	0	0	0	207	0	0	0	4053	0	0	0	4322	0	84	0
k__Bacteria|p__Firmicutes|c__CFGB2833	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	87
k__Bacteria|p__Firmicutes|c__CFGB2838	3456	11830	73945	47300	149396	522	175735	280892	109594	134014	92366	29467	3053	418	14408	19411	57904	74394	20533	240345	141707	41945	120543	68088	65025	104087	83212	30079	16760	22109	19515	45433	48031	33327	85429	80982	13313	246490	26970	18841	12885	26762	131495	45834	2691	22442	28160	64503
k__Bacteria|p__Firmicutes|c__CFGB28439	0	99	4907	99	527	0	3391	4877	2346	3367	4502	418	0	0	0	0	0	0	0	0	0	0	0	0	5413	7148	0	345	0	0	0	0	782	608	79	4702	49	36886	0	205	627	99	0	0	3575	4386	1438	3099
k__Bacteria|p__Firmicutes|c__CFGB2846	841	0	3648	0	0	0	0	0	38	0	92	0	0	0	0	0	0	274	0	0	0	0	0	0	1330	1280	838	0	0	0	0	0	0	0	0	0	0	3966	197	0	840	0	0	0	187	164	0	0
k__Bacteria|p__Firmicutes|c__CFGB2873	5124	7013	30096	7956	1820	0	13335	28251	2362	12984	1475	6504	1423	2662	308	626	3751	27425	12692	22155	2223	0	1866	0	0	0	1622	36	723	6795	2772	294	1440	1135	622	233	4441	0	0	0	0	1921	2126	384	15367	0	14409	12640
k__Bacteria|p__Firmicutes|c__CFGB30328	0	0	0	3487	0	0	0	0	47226	28256	105875	22251	0	0	0	41735	41280	11499	140294	234655	220	74574	150834	136415	0	0	0	0	0	0	8144	4119	37677	6390	5296	0	0	36122	0	1380	9059	3986	14249	17337	58365	0	51089	26862
k__Bacteria|p__Firmicutes|c__CFGB3057	8990	49915	1618	16935	61460	6873	27139	15834	48130	18835	9641	633	0	0	0	0	0	0	0	0	0	0	0	0	48947	53331	0	36332	22555	6768	23697	2881	113547	4246	1487	88530	0	79736	57756	49941	50718	4326	5397	9158	40121	9020	29025	9825
k__Bacteria|p__Firmicutes|c__CFGB40333	4690	7036	10347	10346	2245	8341	8198	3921	0	0	10740	4774	0	2969	0	0	0	0	3783	8077	4391	0	0	0	0	0	5578	9225	10333	7383	13476	1992	0	0	6951	0	6128	0	0	0	0	427	3301	3105	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB5209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4881	0	0	0	10813	0	14199
k__Bacteria|p__Firmicutes|c__CFGB72709	0	0	0	0	0	0	5813	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	1058	0	644	14003	0	0	0	0	3139	0	0	0	0	5715	0	1775	0	0	0	0	0	0	718	0	723	0
k__Bacteria|p__Firmicutes|c__CFGB72896	0	0	0	0	0	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB75721	48829	8579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	37637	0	34395	14345
k__Bacteria|p__Firmicutes|c__CFGB77250	16234	16172	91451	9318	39720	5412	25317	22979	8089	52750	31161	4136	0	1354	963	84	6015	7326	0	543	14186	1587	2098	2218	80858	21199	21145	11775	76217	9798	6637	1424	0	1112	2461	28301	0	22580	37100	0	1179	8847	4128	7447	11606	2587	1238	5405
k__Bacteria|p__Firmicutes|c__CFGB77305	0	0	0	1502	2945	0	31997	106652	12659	3913	1995	1328	0	0	0	0	0	0	0	0	0	29798	0	0	0	0	0	0	0	1951	2981	2597	0	0	3026	8657	0	91077	18130	1879	11533	0	12737	13516	0	18600	499	0
k__Bacteria|p__Firmicutes|c__CFGB77306	15365	0	0	2101	12358	187	11399	23387	737	0	0	0	0	0	0	941	0	0	608	0	0	10264	2651	512	11305	22661	0	2052	6476	0	8370	0	0	0	0	13558	0	22351	12067	2424	7705	0	2000	1995	0	6974	4440	0
k__Bacteria|p__Firmicutes|c__CFGB78137	153944	11522	0	33361	14220	8256	65037	57009	144669	3613	0	0	21136	2661	36718	0	0	0	49157	90308	58925	102861	203750	66983	11826	0	28850	29606	26100	13500	30366	2725	46748	6093	0	0	10976	0	0	0	0	3581	0	3972	57835	0	138842	116053
k__Bacteria|p__Firmicutes|c__CFGB78857	15874	31582	73076	460	136	1805	15714	23714	37520	2211	0	0	0	0	0	0	0	0	0	0	0	22909	0	0	32367	0	4424	4072	807	7116	140	0	0	0	0	0	0	35663	47293	5351	13141	0	0	0	7813	6995	0	206
k__Bacteria|p__Firmicutes|c__CFGB79257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8118	0	0	0	0	0	0	0	0	0	0	0	0	0	59630	318022	41980	3767	0	0	0	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338516	387166	19837	0	0	0	0	0	34314	0	0
k__Bacteria|p__Firmicutes|c__CFGB9507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12151	2247	5830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9508	2441	10364	26905	6432	553	586	65392	38899	7797	9178	7622	6591	604	0	1418	0	3458	14639	20677	26035	25399	1366	5119	1711	0	0	9631	11077	6439	14837	19920	23267	9051	5536	12476	10079	13388	3323	0	0	2831	1905	25005	6937	8765	10166	0	2444
