"sample","collection_date","source","sample_type","source_id","treat","pool","pi","exp_number","sample_number","sample_description","primer"
"P2024.198.515rcbc1.136",2024,"Murine","Feces","V3","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",28,"V3","515rcbc1.136"
"P2024.198.515rcbc1.145",2024,"Murine","Feces","U5","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",5,"U5","515rcbc1.145"
"P2024.198.515rcbc1.146",2024,"Murine","Feces","G3","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",13,"G3","515rcbc1.146"
"P2024.198.515rcbc1.147",2024,"Murine","Feces","M1","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",21,"M1","515rcbc1.147"
"P2024.198.515rcbc1.148",2024,"Murine","Feces","V4","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",29,"V4","515rcbc1.148"
"P2024.198.515rcbc1.157",2024,"Murine","Feces","C1","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",6,"C1","515rcbc1.157"
"P2024.198.515rcbc1.158",2024,"Murine","Feces","G4","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",14,"G4","515rcbc1.158"
"P2024.198.515rcbc1.159",2024,"Murine","Feces","M2","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",22,"M2","515rcbc1.159"
"P2024.198.515rcbc1.160",2024,"Murine","Feces","V5","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",30,"V5","515rcbc1.160"
"P2024.198.515rcbc1.169",2024,"Murine","Feces","C2","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",7,"C2","515rcbc1.169"
"P2024.198.515rcbc1.170",2024,"Murine","Feces","G5","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",15,"G5","515rcbc1.170"
"P2024.198.515rcbc1.171",2024,"Murine","Feces","M3","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",23,"M3","515rcbc1.171"
"P2024.198.515rcbc1.172",2024,"Murine","Feces","A1","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",31,"A1","515rcbc1.172"
"P2024.198.515rcbc1.181",2024,"Murine","Feces","C3","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",8,"C3","515rcbc1.181"
"P2024.198.515rcbc1.182",2024,"Murine","Feces","K1","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",16,"K1","515rcbc1.182"
"P2024.198.515rcbc1.183",2024,"Murine","Feces","M4","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",24,"M4","515rcbc1.183"
"P2024.198.515rcbc1.184",2024,"Murine","Feces","A2","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",32,"A2","515rcbc1.184"
